,会社名,仕事内容,勤務地,給与
50,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,《完全週休2日制＆残業少なめ》お客様との打ち合わせ～図面作成、引き渡しまで、注文住宅の設計をお任せします。★案件はフルオーダーメイド！,全国(宮城、福島、茨城、栃木、群馬、埼玉、千葉、東京、神奈川、新潟、山梨、長野、岐阜、静岡、愛知、…,350万円～750万円
51,株式会社ビッグモーター | 業界No.1安定企業/月8～10日休み/賞与年2回/年収800万円以上可能,【１台修理するごとにインセンティブあり！】定期点検や車検、各種修理対応をおこなう整備士として活躍を！,★転勤なし/UIターン歓迎/マイカー通勤OK ★勤務地は希望を最大限考慮 下記エリアの整備工場併設…,300万円～1000万円
52,株式会社ヨドバシカメラ | 業界異例の正社員比率96.4% ★福利厚生も大手ならでは！,これまで物流管理と配送・設置は別々に担当してきましたが、本ポジションでは、すべてを網羅する【物流のプロフェッショナル】として育成します。,◆物流の拠点「ヨドバシカメラ アッセンブリーセンター川崎」「ヨドバシカメラ 六甲アッセンブリーセン…,300万円～500万円
53,株式会社PGSホーム | 12月には久留米支店が新たに出店！さらに続々と出店を予定！,【月給40万円保証＋歩合スタート(規定あり)！】◎自社オリジナル塗料(光触媒コーティング)の住宅ペイントや太陽光発電システムの提案を行います。,《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,400万円～1000万円
54,株式会社PGSホーム | 業績絶好調で12月には久留米支店が新規出店！さらに出店を予定！,【残業ほぼ無しで月給40万円スタート】◎希望や適性を考慮してアポインター営業(外勤or内勤)をお任せ。興味のあるお客様を探すリサーチの仕事です。,《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,400万円～1000万円
55,東建コーポレーション株式会社 | 土地活用でおなじみの東建です。完全週休2日制で年間休日123日！,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円
56,アフラック保険サービス株式会社 | ★賞与年4回＋インセンティブあり★年休126日以上,＜入社～1年間の手厚い研修・フォロー体制あり＞●保険の見直しや新規契約を考えるお客様1人1人に合った保障をオーダーメイドで提案する仕事です。,★転勤なし！ ★U・Iターン歓迎！ 東京、神奈川、愛知、京都、大阪、広島、福岡、宮城の各事業所 【…,月給25万円〜30万円＋インセンティブ+賞与（年4回） ※前職の経験・能力を考慮の上、当社規程により決定…
57,DSP株式会社 | 初年度年収450万円以上可/年休125日~130日/産休育休制度(実績有),研修後【営業・広報・人事・総務・経理など】いずれかにてお仕事スタート!★やりたいことを一緒に見つけていきましょう☆,★転勤なし/希望勤務地考慮/UIターン歓迎 <本社又は各拠点、プロジェクト先> ■東京都 大田区/…,400万円～1000万円
58,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,【高率インセンティブ＋随時昇給で“年収1000万円以上”も実現可能です！】◆一般のお客様へKDDIの高速通信サービスをご案内します。◆成約率80％以上,★転勤なし ★渋谷本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆渋谷本社…,500万円～1000万円
59,ケイアイスター不動産株式会社 | 【東証一部上場】※男女共に育休取得実績多数！復職率約100％！,＜★年齢や経験問わず、スピーディーに成長＆キャリアUPできる↑＞ 分譲住宅の購入を検討しているお客様に最適な住まいの提案等を行うお仕事です。,★各営業所（埼玉・茨城・栃木・群馬）に配属となります。 ★マイカー通勤OK！駐車場も完備しています…,400万円～700万円
60,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,【 教育体制に自信あり!! 】◆企業やお店へ、通信・OA機器や防犯セキュリティシステム、LED照明などのご提案をお任せします。,希望を考慮し、適性により配属決定 東京都港区/新宿区/品川区/豊島区/町田市/立川市/横浜市 さい…,350万円～1000万円
61,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【残業ほぼナシ／月8～10日休み】ご来店されたお客様のご案内やパソコン入力、電話対応などをお任せ。事務も接客もほど良く楽しめます♪,☆転勤なし/全国に勤務地あり/勤務地は希望考慮/マイカー通勤OK ■宮城県名取市 ■東京都多摩市な…,300万円～550万円
62,株式会社エヌ事業hoop | ★土日祝休み★必要なのはやる気だけ！あなたの成長を応援します,【景気に左右されない安定した業界！】ハウスメーカーや不動産企業などへの法人営業をご担当いただきます【ほぼ定時退社でオフも充実！メリハリ◎】,★駅徒歩1分！通勤便利！ 東京都練馬区関町北2-24-13　銀雅パレス2-406,400万円～600万円
63,KUROFUNE＆PARTNERS株式会社 | 年収1000万超も可能！設立期メンバーとして早期キャリアUPできる,ブランド品の査定・買取を行う営業をお任せします。★完全反響だから提案に専念できる！★未経験でもプロになれる安心のスタートアップとフォローあり,◎全営業所車通勤OK！ ◎交通費支給！◎転勤なし！ ■岡山営業所＊2020年10月新規オープン＊…,480万円～700万円
64,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,【キッチン・洗面台等の上水道関連が多数】水回りのトラブルを抱えるお客様をレスキュー！★『水の学校』で基礎から学べるからスタートアップも安心！,★希望勤務地へ配属！ ★品川/難波/名古屋/新小岩/八王子/神戸/福岡のいずれかで勤務！ 【品川本…,450万円～550万円
65,株式会社ライジングサンセキュリティーサービス | 【★未経験歓迎★入社祝金3万円あり】★面接1回,【危険な業務は一切なし！】＊埼玉・浦和美園の大型ショッピングセンターに常駐し、施設全体やお客様の安全を守ってください＊交通誘導もあります！,◆川口市または浦和美園駅近くの大型商業施設 ◆埼玉県内の各現場 ※直行直帰となります！ —★I／U…,300万円～600万円
66,"株式会社ビッグモーター | No.1企業の安定性◆月給23万9,800円~☆残業ほぼなし☆土日休み可",【20代の女性活躍中♪】来店されたお客さまの受付、データ入力、電話対応などをお任せします。,☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪ ■宮城県…,300万円～550万円
67,株式会社ライジングサンセキュリティーサービス | 【★面接保証！20～60代活躍中】★月給最大40万円も可能！,【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪,＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…,300万円～500万円
68,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【研修充実★未経験から着実に成長】法人クライアントを対象に、スマートフォンやタブレットをはじめとした『ソフトバンク商材』の提案営業をお任せ！,【全国25都道府県の販売代理店】 ★希望のエリアで働ける！ ★転勤なし！ ★U・Iターン歓迎！ 《…,"【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…"
69,DSP株式会社 | 入社半年で月収100万円以上の社員多数！★年間休日125日～130日,【反響営業だから成果を出しやすい！】お問い合わせをいただいたお客さまにアニメやスポーツといったテレビ番組のご案内。※産休育休も完備(実績あり),【WEB面接OK/希望勤務地考慮/転勤なし】 東京都港区の本社または全国の各拠点 ◎UIターン歓迎…,400万円～1000万円
70,株式会社E-reason | ★IDDグループ★残業ほぼなし★完全週休2日制★ドコモと業務提携,《プレイングマネージャーとしての活躍に期待》NTTドコモ携帯への乗換えの案内をする仕事です。売上の構築と共に、スタッフマネジメントもお任せ♪,★☆転勤なし☆★ 【本社】東京都豊島区池袋2-66-2 小林ビル2階 ※駅近オフィス♪ ※営業は社…,350万円～720万円
71,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【研修充実★未経験から着実に成長】法人クライアントを対象に、スマートフォンやタブレットをはじめとした『ソフトバンク商材』の提案営業をお任せ！,【全国25都道府県の販売代理店】 ★希望のエリアで働ける！ ★転勤なし！ ★U・Iターン歓迎！ 《…,"【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…"
72,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",【舞妓さんを乗せることも！京都らしさが味わえる】タクシードライバーをお任せ ◆敷地内に必要な設備を完備→効率的に働ける◆働く時間は自分で決定,UIターン歓迎！遠方からのご応募もOK！ ※転勤なし！ ※説明会実施中 本社／京都府京都市南区西九…,月給20万円（当社規定による） （未経験者は入社後半年間、月給20万円を保証） ※一定額を上回る運送収入…
73,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,◎営業／ノルマなし・ご案内業務が中心！成約時にはインセンティブを支給します　★社宅完備！U・Iターン希望者も歓迎します！,福岡、北九州、飯塚、熊本、鹿児島のいずれか勤務地 ★転勤なし ★初回の配属は原則本社（福岡市）にな…,500万円～2000万円
74,エムケイホールディングス株式会社 | 【大阪府緊急雇用対策に賛同】70歳まで同じ給与体系,【内定まで最短1週間！スピーディーに入社可能】高級ハイヤーでの観光案内や送迎 ★お客様は予約中心だから、業界トップクラスの高収入が叶う！,【勤務地は100%希望制】 ※転勤なし ※京都・滋賀・愛知・北海道内のいずれかの営業所 ※マイカー…,400万円～700万円
75,株式会社インフラトップ | 【DMM.comグループ】テレワークOK/フレックス勤務/残業月20h,【集客なし！問合せ後のカウンセリングから】プログラミングスクール「DMM WEBCAMP」受講希望者の面談～提案、成約★数字より寄り添う姿勢が大切！,【六本木オフィス】 東京都港区六本木3-2-1 住友不動産六本木グランドタワー24F ＜交通アクセ…,300万円～500万円
76,株式会社日明舎 | 完全週休2日制／オフ充実！家族との時間を大切にできる好環境,【 メリハリ抜群でオフも充実！ 】ENEOS水島工場や三菱ガス化学を始め、石油精製工場や化学プラントにて電気設備工事を担当 ★大手企業の工場がメイン,【 転勤なし／UIターンも歓迎 】 岡山県倉敷市中畝8-1-17 ※マイカー通勤可（駐車場有）,350万円～500万円
77,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,人材募集を考える企業様に中途採用の広告のご案内を電話で行います。★入社したばかりの方も5時間で100コールできる最先端のクラウドシステムも導入済,★赤坂のオフィスを自由に利用！ ★最寄駅出口から目の前でアクセスも抜群！ 【弊社事業所】 東京都港…,400万円～1100万円
78,株式会社センス | 【業界2年連続No.1】◆95％が未経験スタート◆働き方改革推進中,営業系総合職（営業／営業コンサルティング／販売）の中から、あなたの適性・希望に合った最適な仕事を見つけられます★年休120日以上／残業月10H以下,当社各拠点の募集【東京本社（池袋）群馬支店（高崎）福岡支店（赤坂）】 ＊本社・支店間の転勤なし ＊…,350万円～600万円
79,小金井不動産株式会社 | 【LIXIL不動産ショップ】不況の波に負けない安定経営を実現！,★LIXIL不動産ショップでの不動産仲介業務★ご来店されたお客様への物件のご紹介がメインなので、専門知識「0％」からでもOKなんです！,《UIターン歓迎&マイカー通勤OK》 ★宇都宮・小山・下野の主要地での勤務となります ★宇都宮鶴田…,300万円～550万円
80,朝日ソーラー株式会社 | 【大阪府緊急雇用対策に賛同】★月給32万円以上（試用期間中）,"【 太陽熱温水器メーカーの先駆け的存在！ 】自社商品の提案業務をお任せします ※丁寧な研修で2,3ヶ月後にはほぼ全員が月10台前後売れるまでに成長！",【9月に宮崎支店を開設しました！】 東京、大阪、愛知、福岡、広島、宮城、群馬、愛媛、熊本、大分、長…,450万円～700万円
81,株式会社フォーナイン | 福岡市東区において、地域1番店を目指しています！,「ハウスドゥ！香椎駅前店」にて、不動産売買の営業をお任せします。※100％反響型の営業です。,【 転勤一切ありません 】 ◆福岡県福岡市東区香椎駅前3丁目5-15 JKビル1F アクセス／JR…,未経験者／月給20万円〜25万円 + 歩合 + 諸手当 経験者（役職候補者）／月給25万円〜32万円 + 歩合 + 諸…
82,小金井不動産株式会社 | 【LIXIL不動産ショップ】不況の波に負けない安定経営を実現！,★LIXIL不動産ショップでの不動産売買の仲介業務★ご来店されたお客様への物件のご紹介がメインなので、成約率が高い！★物件数も県内トップクラス！,《UIターン歓迎&マイカー通勤OK》 ★宇都宮エリアでの拡大募集となります 【拡大募集中！】 ★宇…,400万円～1000万円
83,株式会社アクアライン | 【東証マザーズ上場】★出張面接＆WEB面接可能★動画も公開中！,【 直行直帰！自由業の様な働き方 】お客様宅を訪問し、水回りのメンテナンスや修理、部品交換に伴う提案をお任せします★集客とアポ調整は本部が一括,関東圏積極募集中！ <転勤一切ナシ！>自宅から現場への直行直帰！ 社用車貸与だから通勤ラッシュに悩…,【日勤】 (A)月給30万円〜 (B)月給28万円〜 (C)月給25万円〜 (D)月給23万円〜 (E)月給21万円〜 ※固定残…
84,株式会社坂本電気設備 | 正社員採用｜若手活躍中｜未経験で月給22万～＋諸手当,【大学やテレビ局など多彩な実績あり！】大阪を中心とした電気設備工事をお任せします　★終わり次第で早上がりOK ★2～3名のチーム制で安心！,【転勤なし／最寄り駅から徒歩5分】 ◆大阪府大阪市城東区関目3-16-18 ※U・Iターン歓迎 ※…,300万円～500万円
85,株式会社早稲田学習研究会 | Ｗ早稲田ゼミ★Web面接導入／スマホもOK【賞与実績60～400万円】,小・中・高校生いずれかの授業を担当します。生徒一人ひとりをしっかりと見つめ、志望校合格に向けて全力を尽くします。,群馬・栃木・埼玉・東京 ★面接時の交通費は全額会社が負担します。 【群馬県】 太田市、前橋市、高崎…,540万円～800万円
86,株式会社ホリコシ産業 | 転勤なしで働ける｜インフラ系安定企業｜地域に貢献できる企業,【100％中途入社｜作業着・社用PC・社用車は会社支給｜スピード昇進可能】ガス・空調・水廻り・電気などのライフラインにお困りのお客様をサポート！,【転勤なし】【マイカー通勤OK】【U・Iターン歓迎】 本社／静岡県浜松市北区根洗町16-3 ＜Po…,300万円～500万円
87,株式会社T-TOP | 中部電力株式会社の拡販パートナー/40歳以下⇒全員面接,"【月収50万円以上を実現している先輩が多数！】大手電力会社や大手ホームセンターの""顔""としてサービスを提供します。※安心のフォロー体制あり！",※名古屋限定採用／U・Iターン歓迎／転勤なし！ ◆名古屋支店／愛知県名古屋市中川区高畑5-87 ◎…,◆完全週休2日制／月給25万円〜 ◆隔週休2日制／月給28万円〜 ＜モデル月収例＞ 月収50万円／20代／入…
88,光電気工事株式会社 | 『 転職して良かった！ 』そんな中途社員の声が多いです！,▼希望や適性に応じて[ 施工管理 ]or[ 電気工事スタッフ ]をお任せします。《 未経験・経験者から転職先に選ばれている実績あり！》,【 2019年完成の新社屋で働ける／転勤無し／マイカー通勤OK 】 …名古屋市北区三軒町234番地…,300万円～650万円
89,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,大手ゼネコンや官公庁中心の建設プロジェクト（建築・土木・設備・電気・プラント）の施工管理業務。20～50代の幅広い年代が多数活躍中！,全国47都道府県（首都圏・中部・関西・中国・四国・北陸・東北・北海道・九州）の各プロジェクト先 ※…,600万円～1000万円
90,株式会社砂建 | 「ウォータージェット」部門のスタートアップ募集！,《 家族に誇れる仕事！ 》ウォータージェットを用いた橋梁等の「メンテナンス」または建築資材を運ぶ「配送」を担当 ★充実の福利厚生に注目！,【 転勤なし！マイカー通勤可 】 岡山市または倉敷市の拠点に配属します。 現場へは直行直帰の勤務で…,月給 24万〜55万円 ＋ 諸手当 ★完全週休2日の働き方も選べます！ ★経験者は前職給与を最大限考慮しま…
91,株式会社味ん味ん | 業界イメージ払拭！【高給与&完全週休2日】で余裕のある働き方を,大人気焼肉店『味ん味ん』での店舗業務をお任せします。ゆくゆくは店長として活躍していただけるポジションです！副店長・店長への昇格で給与大幅UP◎,お住まいを考慮し通いやすい、 東京・神奈川内の22店舗に配属します！ 【東京都】 東京都町田市／東…,378万円～550万円
92,株式会社グッドワークコミュニケーションズ | 多角的な事業展開で急成長！★☆20～30代大活躍中！☆★,《完全週休2日制／残業月10～20時間》クライアント企業の要望に応じて、個人or法人営業をお任せ。※2～4カ月かけて、じっくり研修を行います！,☆全国または本社での勤務 ☆希望を考慮し、配属先を決定 ☆転勤なし ●東京 東京都杉並区/東京都練…,350万円～800万円
93,株式会社一竜電業社 | 【大阪府緊急雇用対策に賛同】 #需要が安定的な電気の仕事です！,【働き方が選べる】◆全くの現場未経験者でもスタートできる電気工事をお任せします！◎資格取得は全額会社負担／仕事の進め方は丁寧に教えるので安心,【マイカー通勤可能／転勤なし】 《本社》大阪府大阪狭山市今熊3-464-1 ※南海『金剛』駅からバ…,300万円～500万円
94,株式会社ジーアフター | ◆最高売上更新！注目の成長企業 ◆未経験スタートが8割以上！,【完全反響型の営業スタイル】◆中古車の販売・営業・買取業務をお任せします◆店舗からスタートし、本社、オークション等の多様なキャリアも歩めます,千葉県・埼玉県などの店舗及び事業所 初期配属は希望を考慮します！ 全国展開へ向けて積極採用中！ 【…,400万円～600万円
95,中井エナジーテック株式会社 | #大阪ガス&東京ガス両方のライセンスを保持 #中井グループ,【京阪神の近隣案件が中心/転勤なし】ガス設備や機器の工事、メンテナンスをお任せ◎チームで取り組むので安心※必要な資格は会社が取得支援します,【原則転勤なし】 関東事業所（埼玉県三郷市） または 大阪本社（大阪府茨木市）へ配属　※希望を考慮…,350万円～550万円
96,株式会社手なおし屋 | ★初心者大歓迎！★20～30代の中途入社スタッフが活躍中！,【住宅設備の点検やメンテナンスのご案内をお任せします】★売り込むのではなく「ご案内をするだけ」なので未経験でも大丈夫！★研修が充実！,◎伊勢崎支店／群馬県伊勢崎市宮子町3410-3 D号 ◎太田支店／群馬県太田市浜町66-41 ◎つ…,【月給】30万円以上(一律手当含む) + インセンティブ ------------------------------------------------…
97,株式会社ドリームホーム | 京都屈指の業績・2019年度グループ売上高170億円！,【ノルマなし◎無理な営業禁止】来店・お問い合わせのお客様に新築・中古戸建やマンションをご紹介。※自社開発分譲地多数。街づくりにも携われる！,京都府内の店舗(13店舗)★バイク/自転車/マイカー通勤可/希望・居住地考慮 ■桂店/西京区上桂前…,300万円～500万円
98,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,【オープンポジションの募集です】◆クルマ・ロボット・素材等の分野における、機械の操作・点検や業者対応・包装などの様々なものづくり業務を担当！,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,300万円～500万円
